V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164,V165,V166,V167,V168,V169,V170,V171,V172,V173,V174,V175,V176,V177,V178,V179,V180,V181,V182,V183,V184,V185,V186,V187,V188,V189,V190,V191,V192,V193,V194,V195,V196,V197,V198,V199,V200,V201,V202,V203,V204,V205,V206,V207,V208,V209,V210,V211,V212,V213,V214,V215,V216,V217,V218,V219,V220,V221,V222,V223,V224,V225,V226,V227,V228,V229,V230,V231,V232,V233,V234,V235,V236,V237,V238,V239,V240,V241,V242,V243,V244,V245,V246,V247,V248,V249,V250,V251,V252,V253,V254,V255,V256,V257,V258,V259,V260,V261,V262,V263,V264,V265,V266,V267,V268,V269,V270,V271,V272,V273,V274,V275,V276,V277,V278,V279,V280,V281,V282,V283,V284,V285,V286,V287,V288,V289,V290,V291,V292,V293,V294,V295,V296,V297,V298,V299
64,180,32,195,20,64,96,64,195,96,64,20,96,64,64,64,180,64,96,96,96,64,20,96,180,96,20,20,32,96,96,54,96,20,180,20,96,64,96,20,96,96,64,96,64,96,20,96,180,180,96,20,64,64,180,58,89,180,20,64,64,20,20,180,89,58,64,32,54,54,180,96,54,96,54,64,20,64,180,96,64,195,64,180,54,54,20,180,20,54,180,89,64,20,195,195,64,64,64,20,54,96,195,20,96,64,180,64,32,64,20,20,96,64,54,96,96,96,20,58,180,64,20,64,20,96,20,96,195,180,54,195,96,195,64,64,96,96,20,58,89,32,32,20,20,96,20,64,20,64,64,180,96,64,180,58,89,195,20,64,54,20,20,96,54,96,180,64,195,64,54,195,180,54,180,64,96,64,64,96,180,64,96,64,20,64,180,180,195,96,96,64,54,180,96,180,195,180,58,20,54,58,20,64,96,20,64,96,20,96,180,195,64,32,64,96,20,180,20,64,20,195,96,54,58,180,64,195,195,96,58,64,96,180,64,64,96,195,64,20,32,20,96,20,180,32,58,180,96,20,195,54,195,96,32,54,180,20,58,64,96,96,180,64,20,20,20,58,64,96,96,32,54,180,96,96,195,89,180,96,20,54,89,180,195,180,96,195,96,96,64,54,180,89,195,96,64,96,96
64,96,64,64,96,180,96,96,20,20,180,96,20,64,20,58,96,64,32,64,96,96,195,20,54,64,180,64,32,54,64,54,96,180,64,20,96,195,20,64,64,96,96,180,96,20,20,20,180,20,64,64,180,96,20,96,20,96,20,54,96,64,180,64,64,20,96,64,89,96,64,20,180,96,54,96,180,58,96,180,20,32,180,20,96,20,32,64,54,20,96,96,195,180,96,54,54,96,180,64,180,180,54,58,64,32,20,64,195,195,180,195,195,64,20,64,58,20,54,96,180,64,20,64,64,64,20,54,96,96,64,180,180,180,58,54,64,180,96,64,96,20,180,32,64,32,58,96,58,58,20,195,20,20,32,64,20,96,54,96,54,64,64,180,195,64,96,96,20,180,64,64,89,64,96,64,20,96,64,32,96,195,64,54,58,64,20,180,64,64,20,20,64,64,54,64,58,64,96,64,195,32,96,96,96,195,180,20,195,96,32,96,180,96,180,64,32,32,54,96,180,96,20,195,180,195,64,96,64,64,64,96,54,64,54,20,20,20,54,20,96,180,64,64,64,96,64,96,64,58,20,96,54,195,96,96,96,20,96,64,180,20,58,20,64,64,64,96,195,180,20,180,180,54,20,195,89,96,64,20,32,96,180,58,32,180,96,64,20,20,180,180,32,96,96,96,64,58,64
64,64,96,54,20,180,20,195,96,20,64,64,180,195,96,64,180,195,64,64,20,180,96,20,96,64,32,96,180,20,195,20,32,64,64,64,180,180,180,180,20,20,89,20,180,64,20,54,64,64,20,54,180,54,96,20,64,180,20,20,20,64,96,20,64,64,32,64,195,32,96,195,180,64,20,20,64,20,64,64,64,96,32,96,180,96,20,20,20,96,195,64,96,64,64,64,96,64,64,96,58,96,20,96,64,180,58,195,96,96,64,96,96,96,64,20,20,195,54,20,180,58,54,64,20,96,96,180,96,32,96,96,180,64,64,58,20,96,96,180,96,64,96,96,20,180,20,96,89,64,20,96,64,180,180,96,96,96,20,195,180,58,58,64,54,96,96,20,64,96,20,58,96,64,64,54,180,54,180,20,64,32,180,58,96,64,195,20,58,96,96,180,64,180,58,20,96,64,180,54,64,96,64,96,20,54,195,96,96,96,58,180,20,54,20,96,180,20,20,96,54,96,64,96,58,96,58,180,64,180,195,20,96,195,96,195,58,20,64,64,96,20,96,195,64,20,96,64,96,64,20,180,20,64,180,195,180,64,96,54,96,58,180,64,20,180,20,54,20,195,20,96,54,64,180,180,64,64,64,54,180,20,20,96,20,64,32,96,180,180,195,64,20,58,64,54,195,195,58
195,180,180,180,89,54,64,89,20,96,54,20,96,64,20,54,96,20,180,96,96,195,54,64,20,180,54,180,64,20,89,64,195,58,180,180,58,20,96,64,89,54,96,20,96,64,96,96,20,180,58,58,96,20,64,54,54,20,180,54,96,20,64,54,96,58,96,96,195,64,195,180,195,96,64,96,195,195,54,20,54,180,64,64,89,20,195,64,64,89,20,32,195,64,96,58,64,54,96,89,20,58,180,96,54,54,20,180,64,64,180,96,20,20,64,180,64,180,54,64,89,64,96,20,195,20,64,180,195,180,32,54,64,20,20,195,64,96,64,64,180,64,58,195,20,96,180,64,58,195,64,64,20,96,20,195,32,20,54,64,180,195,64,195,64,180,54,195,89,20,96,64,20,64,96,195,20,64,58,20,96,180,64,96,89,96,96,64,64,96,96,180,96,180,58,20,20,180,20,20,180,96,180,64,64,180,58,64,20,96,20,180,180,96,20,180,64,195,20,32,20,64,64,54,64,96,20,20,64,20,64,96,20,54,54,64,96,180,96,20,96,32,64,54,195,58,32,64,20,180,58,89,64,180,96,20,32,195,64,64,20,32,64,20,64,89,195,180,64,96,20,32,180,180,32,32,96,89,20,96,58,195,195,96,58,180,64,96,64,64,64,96,32,64,64,180,20,64,20
180,64,20,64,20,195,64,96,96,180,64,64,180,96,64,89,20,96,20,32,64,195,64,54,96,64,20,64,20,20,96,195,20,195,20,54,64,64,64,64,20,180,58,180,64,20,64,32,54,64,20,64,180,96,96,96,180,64,96,64,54,20,54,96,180,195,64,64,32,54,20,54,20,64,64,96,54,96,54,180,180,64,20,180,180,96,195,96,180,32,96,64,20,89,96,195,20,54,180,64,54,64,32,195,180,64,195,96,180,20,64,64,96,180,64,96,58,96,32,20,195,20,64,20,64,96,64,96,64,180,96,20,180,64,180,96,180,180,58,96,20,20,64,96,20,64,180,96,54,195,96,180,64,64,96,180,20,180,180,64,180,180,96,96,64,96,20,54,96,64,64,54,32,96,96,96,89,32,96,96,64,96,64,64,195,64,20,20,180,54,20,96,180,20,96,54,89,180,54,58,195,96,64,96,20,54,96,96,64,64,96,64,20,89,64,96,20,96,20,64,195,96,32,195,180,20,64,64,96,195,20,64,64,89,64,180,58,20,64,64,64,89,96,195,64,96,195,20,64,96,96,96,20,20,20,58,180,64,96,180,180,64,20,96,20,54,64,180,20,20,64,195,96,20,180,96,89,64,96,180,20,64,54,64,20,96,96,89,180,32,58,64,89,20,96,20,96,96,180
64,96,96,64,20,96,20,20,20,64,96,20,64,64,20,20,64,96,54,96,180,20,20,64,54,58,20,64,54,180,20,20,54,96,180,64,96,58,20,96,96,64,96,96,180,58,64,96,54,20,96,195,64,64,195,64,54,180,195,180,20,180,64,20,64,180,180,32,64,89,180,96,54,96,64,96,64,96,20,96,20,180,64,96,58,64,96,20,20,64,195,64,180,20,64,180,96,96,58,54,96,180,64,96,64,20,64,20,96,195,54,195,54,20,58,20,20,54,58,96,20,20,64,64,64,96,20,180,96,180,54,54,64,96,180,64,58,64,20,64,96,20,96,96,32,64,58,96,195,64,20,54,58,54,20,195,96,180,180,195,96,54,20,96,180,20,64,180,180,64,180,54,20,54,64,180,96,96,96,96,180,20,64,58,180,180,64,64,96,180,180,58,64,64,96,20,96,96,180,64,89,32,96,54,180,64,96,20,96,180,20,180,58,96,64,58,20,180,180,64,32,32,20,180,96,89,64,20,54,32,96,96,96,20,195,58,54,180,180,96,64,20,64,54,64,58,89,58,64,20,64,54,64,64,180,64,20,64,20,64,96,58,180,96,180,96,180,64,64,20,96,32,180,54,180,20,180,64,20,195,96,58,20,32,180,64,20,96,32,20,180,96,195,54,96,54,20,54,96
64,54,58,64,64,96,64,64,89,64,96,64,96,96,64,195,20,96,32,54,20,96,195,89,20,20,96,180,180,96,96,96,32,96,20,96,20,64,96,20,58,54,20,20,20,96,180,195,64,64,20,64,96,20,89,96,96,54,64,195,20,20,195,180,195,180,64,96,96,195,180,64,195,20,64,180,64,96,20,20,96,64,20,64,20,180,20,180,96,180,180,54,20,96,96,64,64,195,180,32,58,180,64,20,180,20,96,96,180,20,64,195,96,180,54,180,96,54,180,64,64,180,180,195,195,96,20,58,64,96,20,20,96,89,180,64,96,96,58,20,180,58,96,195,20,64,20,54,20,195,180,20,20,96,96,64,64,20,32,20,96,195,96,54,64,32,64,96,20,64,180,64,64,96,180,20,20,64,64,180,64,64,96,64,180,96,20,20,32,64,54,96,96,20,64,96,58,54,96,64,64,180,96,32,20,180,54,20,195,64,20,64,195,20,180,54,32,64,96,180,96,180,96,64,96,54,58,96,64,58,20,180,64,64,64,96,180,96,195,20,58,96,96,96,58,20,180,54,96,54,32,96,180,58,64,20,64,20,64,54,96,64,20,32,64,64,64,58,89,195,96,96,96,20,96,58,96,195,180,64,96,64,58,20,180,96,20,96,96,64,64,64,180,32,58,89,180,58,195
180,96,58,96,180,64,180,180,96,20,180,64,64,54,58,54,180,96,180,96,180,64,20,180,64,180,195,96,89,20,58,20,54,195,64,64,64,96,20,64,96,32,195,64,64,54,58,20,20,96,20,180,96,96,20,20,180,20,180,64,89,54,64,58,58,64,195,64,96,20,96,64,64,180,64,32,20,20,64,180,58,64,195,180,96,58,32,20,180,96,64,180,96,180,180,96,20,64,64,96,64,195,64,64,54,64,64,20,96,58,64,96,96,54,180,96,64,20,54,64,54,96,64,20,96,180,180,96,54,20,20,180,96,64,96,64,96,54,32,54,180,64,20,64,89,195,64,20,96,195,180,180,96,180,180,195,32,180,96,64,64,64,58,20,58,89,20,180,20,180,58,96,54,96,54,58,195,20,195,96,180,96,180,20,64,96,180,96,64,64,180,64,64,96,180,64,20,64,20,64,58,64,64,195,64,20,180,96,96,20,195,64,64,180,96,64,180,96,96,89,54,195,58,20,20,195,96,64,96,195,20,96,180,64,180,96,64,54,64,96,64,20,89,180,180,20,64,64,64,180,195,64,20,180,96,20,54,20,64,20,54,64,32,96,58,96,195,180,64,180,64,64,58,20,96,180,58,64,180,20,20,195,64,20,180,96,96,96,20,96,20,96,96,20,20,96,20,64,180
64,20,195,64,96,20,20,64,58,180,89,20,96,96,96,20,20,89,64,96,58,20,195,96,20,96,180,89,32,20,96,64,180,58,20,58,96,54,96,96,20,64,54,96,180,64,180,64,96,180,195,20,58,20,180,64,96,89,195,20,54,180,195,20,96,64,58,64,20,180,96,64,20,58,20,89,96,64,96,54,20,64,20,180,64,180,96,195,96,64,54,96,64,195,20,195,64,64,195,96,180,54,96,58,64,89,64,195,96,195,64,180,20,195,64,64,180,96,64,180,180,64,64,96,64,64,64,64,64,180,89,54,58,89,195,54,20,64,64,64,64,20,64,195,58,20,20,54,64,20,64,96,96,20,20,64,20,180,64,20,20,180,96,54,64,180,20,96,96,64,64,180,64,96,64,180,58,96,64,64,58,74,195,58,64,64,20,195,180,20,96,20,20,58,54,64,20,180,64,20,54,64,64,96,20,195,64,64,195,96,58,180,96,180,64,54,32,54,64,32,20,96,20,64,20,64,20,180,64,20,54,180,64,32,96,20,89,20,20,54,89,64,96,20,64,89,64,96,180,96,96,64,96,20,64,96,54,96,96,20,96,58,96,96,64,54,96,64,54,89,20,180,64,20,180,20,195,64,180,89,58,96,64,180,58,96,58,64,195,32,64,96,64,96,64,96,20,96,20
180,96,96,54,180,58,64,20,64,96,96,96,195,96,96,20,64,180,180,96,20,58,96,96,20,58,180,96,54,180,32,54,20,64,96,64,64,54,64,180,64,96,20,64,64,195,20,20,96,64,20,54,20,64,54,20,96,64,64,32,96,64,54,64,20,54,96,96,96,20,89,64,180,180,180,32,195,58,32,64,96,32,96,96,20,96,64,96,64,64,89,64,180,54,96,96,180,96,54,20,64,20,32,96,195,64,20,20,20,96,195,64,64,96,64,64,96,195,64,64,195,64,96,195,96,54,58,96,20,180,54,64,20,64,54,96,32,64,20,96,54,96,64,195,64,96,58,195,180,96,64,58,64,96,64,180,20,195,20,96,64,89,96,20,20,20,20,64,20,96,180,64,64,20,96,152,180,96,54,89,20,20,64,96,180,64,64,96,20,96,64,89,64,32,20,180,20,96,20,195,89,54,96,20,64,89,96,96,96,20,58,64,32,64,20,96,20,64,64,180,20,64,20,58,180,54,20,96,54,64,96,20,32,64,180,64,58,58,96,20,180,64,64,96,96,64,20,20,180,64,195,54,64,96,64,180,96,32,89,180,32,180,20,20,58,20,96,180,20,96,20,180,54,20,64,64,20,89,96,64,20,96,20,96,195,64,64,20,58,20,96,20,64,20,195,64,58,20,20
64,20,64,96,96,180,180,180,180,20,64,58,64,20,58,64,58,96,96,64,20,64,64,20,180,64,64,180,54,96,64,96,32,96,32,20,96,58,32,64,64,58,64,54,64,180,96,20,180,20,20,64,96,64,96,32,20,20,96,20,54,195,180,96,64,64,64,96,20,180,64,32,64,96,96,58,20,54,64,54,180,64,20,180,64,20,195,180,20,180,58,58,96,89,180,20,180,64,58,195,54,96,64,180,54,64,64,64,54,32,20,64,180,32,96,64,96,180,20,64,64,180,64,58,96,64,20,96,180,64,89,180,20,20,58,58,20,180,64,180,64,32,20,96,96,195,96,64,64,54,54,20,64,54,96,20,64,64,89,180,96,20,58,64,64,96,64,180,64,58,89,195,54,20,180,64,20,180,195,64,54,32,20,58,180,64,180,180,20,96,64,96,96,180,195,96,58,64,96,64,96,195,32,96,195,96,195,20,96,54,195,96,180,180,58,180,32,54,20,20,20,64,96,20,96,64,64,180,96,96,180,64,64,96,96,89,195,180,96,64,89,195,58,180,64,195,20,96,89,96,20,20,20,180,89,64,64,54,180,64,89,64,64,195,96,32,64,195,180,64,64,20,32,64,64,32,195,64,64,96,20,32,96,20,180,96,96,64,20,195,180,58,195,20,64,180,96,64,54
20,96,64,20,180,195,180,64,64,89,20,54,96,195,20,96,54,64,96,195,64,195,96,20,96,96,54,20,96,20,195,195,195,20,195,64,96,54,20,54,32,54,64,32,20,64,96,195,180,64,64,58,20,54,54,58,64,64,96,64,64,96,64,20,180,64,20,64,20,64,58,180,64,96,180,64,96,180,180,180,96,54,20,58,96,195,180,20,64,195,195,64,20,195,20,20,64,89,180,96,64,195,20,180,195,64,96,180,20,195,96,96,96,64,96,54,20,64,96,54,180,64,64,20,54,180,32,89,20,180,20,96,96,32,96,96,96,54,64,20,64,96,64,195,64,20,180,89,180,20,96,195,96,58,64,180,58,32,58,180,64,20,64,195,64,54,96,20,20,180,96,54,96,58,96,89,89,64,96,64,58,64,96,96,54,20,54,180,64,64,20,20,64,54,64,195,20,20,195,32,96,20,54,20,96,64,64,180,96,64,20,180,96,64,64,58,96,58,96,64,96,96,195,20,64,20,58,54,64,32,64,96,20,96,64,180,64,195,64,64,20,64,20,180,20,180,20,64,32,64,64,64,195,96,20,96,58,96,58,32,96,20,20,180,96,180,96,96,64,195,96,20,96,180,20,96,54,96,58,180,64,96,54,195,64,89,20,20,180,20,96,64,96,96,195,180,89,58,195
32,64,20,96,180,20,58,195,96,54,32,64,20,54,64,195,20,20,64,89,20,64,64,64,58,20,180,64,195,20,64,64,180,64,20,64,20,64,20,180,64,58,64,64,195,180,20,20,54,195,96,152,195,64,20,64,20,96,64,180,96,96,64,54,96,195,64,96,96,64,20,20,20,20,180,64,20,64,96,54,180,64,96,58,64,96,180,195,180,96,58,20,180,54,64,96,180,58,64,195,64,20,64,96,20,180,89,54,64,54,195,20,54,64,96,180,195,180,96,64,180,54,20,96,180,64,20,64,180,64,64,20,64,180,20,180,20,20,20,20,64,20,180,64,96,195,54,20,54,64,64,64,64,180,20,96,64,20,20,20,20,54,20,20,180,20,32,54,195,180,20,32,64,64,54,96,20,54,195,64,64,20,96,54,32,58,20,64,89,20,96,64,96,96,20,180,54,96,20,96,20,64,180,195,20,96,20,96,64,32,64,64,54,195,58,96,20,96,58,180,20,54,180,96,74,195,20,180,96,54,180,96,64,96,20,20,64,20,64,20,195,96,195,20,58,96,195,20,96,195,20,58,64,96,54,20,20,180,96,64,180,64,96,96,64,20,64,64,20,58,20,64,96,20,64,64,195,180,64,96,64,89,96,20,180,96,64,96,96,20,58,180,96,180,20,195,96,96,20
64,20,20,32,32,64,20,64,32,180,64,96,54,180,96,195,54,58,64,180,180,96,96,96,20,54,195,58,96,20,195,64,54,20,96,64,20,96,195,180,64,96,195,20,180,54,96,96,96,195,54,64,54,180,54,96,64,180,195,96,96,54,96,64,96,20,64,32,58,20,96,96,96,89,54,96,180,64,180,64,180,64,64,195,96,96,64,54,180,64,32,32,96,58,96,96,180,64,180,64,20,20,54,96,58,180,64,20,96,54,20,58,20,20,54,180,58,64,195,20,96,180,64,20,64,64,195,96,20,54,58,180,195,96,54,58,195,20,96,180,20,180,96,20,64,64,64,180,96,180,58,180,20,180,58,58,64,180,96,180,64,54,180,58,96,20,96,58,64,54,20,96,64,32,180,20,96,96,96,54,96,54,20,180,96,58,20,64,54,20,64,20,180,20,180,64,64,64,180,180,180,54,89,20,96,32,20,180,54,20,54,20,64,96,20,20,20,96,54,180,180,89,64,58,54,64,96,64,20,58,20,89,64,96,180,64,96,195,180,64,64,64,64,64,64,20,64,96,180,96,195,180,20,64,20,96,64,32,180,96,89,20,96,54,96,20,54,195,54,64,96,20,64,96,96,20,20,64,20,32,96,64,64,20,96,96,180,20,64,96,64,54,195,58,64,195,20,180,64
20,32,54,20,180,180,58,180,20,20,20,64,180,20,96,96,32,180,54,64,54,64,195,180,96,64,32,180,96,54,89,96,58,195,96,58,54,96,54,20,96,96,64,96,32,96,64,20,54,180,64,180,54,96,64,58,20,64,64,180,20,64,20,54,32,180,195,54,64,64,64,20,64,96,180,64,20,64,96,58,32,20,180,58,20,180,195,64,64,96,96,180,20,180,20,195,20,64,20,96,58,32,89,20,54,32,20,180,64,180,64,96,96,64,180,96,180,20,180,180,195,20,64,58,20,180,195,64,20,64,96,20,180,96,58,64,20,64,58,20,195,180,64,195,54,20,64,64,96,195,54,64,96,64,96,180,96,20,20,20,58,20,64,64,64,54,20,20,96,20,180,180,64,195,20,54,180,54,64,58,20,195,96,64,64,195,32,96,96,180,64,64,20,195,64,64,180,20,64,20,180,64,64,195,64,64,20,96,64,96,54,195,20,58,64,20,195,54,96,20,96,20,180,89,96,180,89,32,96,32,96,195,96,96,58,32,20,180,64,20,96,195,96,54,180,96,180,20,64,20,20,96,32,96,20,20,64,180,195,64,180,96,180,20,180,96,180,54,64,195,20,64,96,20,58,54,64,20,64,180,64,96,180,96,96,54,195,54,20,195,195,64,20,64,195,64,64,180,96
64,58,195,64,96,20,58,64,32,64,54,58,32,58,96,64,64,54,20,32,180,64,96,20,64,195,64,54,96,64,180,195,180,195,20,64,89,64,96,96,64,20,58,20,180,180,54,96,96,58,180,96,64,64,180,96,20,96,20,64,58,96,20,64,20,54,96,195,32,180,20,89,96,20,195,180,54,58,58,54,180,64,64,96,96,64,20,64,20,180,20,195,195,54,64,64,195,58,96,54,54,64,20,96,64,64,96,180,54,58,180,54,180,54,20,58,96,54,20,96,64,96,180,32,89,58,54,64,20,58,96,64,96,152,58,180,96,32,96,180,64,54,20,64,96,96,64,64,20,180,96,20,54,20,64,20,58,180,96,54,89,96,96,180,195,180,64,54,64,58,20,64,58,58,195,20,180,32,195,54,64,32,64,54,89,96,180,20,96,64,180,32,96,20,54,64,96,180,180,64,96,58,20,54,96,96,180,180,180,96,64,58,180,180,89,64,96,64,20,180,20,180,180,96,20,96,180,96,96,180,96,58,180,64,64,64,96,20,54,180,64,64,54,20,64,20,96,32,64,54,20,64,64,54,96,32,64,20,20,20,180,96,20,96,195,20,64,20,180,64,195,180,180,96,195,64,195,89,96,195,32,96,58,64,32,64,20,180,96,20,20,96,58,64,20,195,96,180,58
195,96,54,32,64,64,20,96,195,64,96,96,64,96,54,54,180,64,195,64,20,180,32,64,96,180,64,64,96,64,58,96,20,64,54,96,195,20,54,180,54,96,64,195,64,64,58,58,89,195,58,89,180,54,64,96,64,180,20,180,180,58,54,180,64,20,96,54,96,64,96,54,20,58,64,64,32,64,20,96,20,64,20,180,180,180,180,96,20,96,96,180,64,180,96,96,96,64,20,195,20,89,96,20,58,96,20,64,180,20,20,96,64,64,89,180,96,195,64,64,54,58,64,64,180,20,96,195,58,54,54,180,96,64,64,64,96,54,180,20,96,96,20,96,96,180,180,64,96,64,32,96,64,20,180,96,20,195,180,32,64,89,74,20,64,96,96,96,180,20,96,96,20,64,195,96,64,96,96,180,96,54,180,20,180,54,180,180,20,64,96,64,180,20,64,180,180,96,96,96,64,180,64,58,64,20,96,64,180,195,58,195,96,20,64,96,180,64,20,32,54,64,20,96,20,64,96,64,89,195,64,20,96,54,64,180,64,180,20,54,54,96,58,96,180,20,64,96,54,20,64,180,96,20,54,20,96,58,195,64,54,54,20,58,54,20,195,89,180,64,20,32,64,20,64,96,96,64,195,54,180,180,64,54,58,96,20,89,180,32,54,180,195,64,96,20,58,96,64
64,20,64,96,180,195,64,64,64,20,96,32,96,20,96,180,32,89,64,180,32,96,20,20,89,180,58,20,54,64,20,89,64,96,96,96,64,96,96,64,32,180,58,96,195,54,96,96,20,54,64,96,195,96,195,96,32,54,64,64,58,96,180,89,64,180,180,96,20,180,20,54,64,96,96,64,20,58,96,195,96,96,58,96,54,64,64,195,64,20,96,96,64,58,64,54,96,180,96,96,20,180,20,180,96,64,180,20,180,54,96,64,20,64,54,180,20,180,96,64,195,96,195,20,20,195,64,195,96,32,96,20,96,64,20,64,20,20,64,96,180,64,89,64,64,54,20,20,195,64,89,64,96,180,64,96,20,96,64,20,20,32,96,180,58,195,20,54,195,195,180,195,89,96,64,64,20,64,54,20,195,195,64,58,96,96,64,195,20,96,180,20,54,96,32,58,64,64,20,180,64,96,54,96,32,20,180,96,20,64,96,20,32,54,64,54,64,96,195,195,20,54,96,64,64,54,89,180,20,96,20,64,64,20,58,195,64,54,20,96,20,180,32,20,64,20,96,20,64,180,64,20,96,32,20,96,64,180,20,74,180,96,195,64,32,20,96,180,96,96,180,96,195,96,58,64,89,20,96,64,96,54,96,20,64,180,58,32,64,96,64,20,20,58,20,180,58,54,180
96,96,64,64,64,64,64,64,54,64,180,20,96,195,195,64,20,180,96,96,20,20,180,20,96,64,64,32,180,96,96,54,20,64,20,180,64,20,180,180,180,180,58,54,96,64,96,20,64,64,20,180,180,54,64,64,64,180,58,20,96,64,195,195,64,58,64,58,64,64,89,20,20,64,180,64,32,20,58,54,64,20,64,195,180,96,64,180,20,180,20,195,180,180,20,64,180,58,64,180,64,32,64,195,54,20,180,64,89,54,20,96,64,180,96,64,195,20,195,180,96,195,96,96,54,96,96,180,20,180,20,54,64,180,96,195,96,96,96,96,195,54,32,180,58,96,180,32,64,180,20,64,96,96,64,195,64,58,96,96,64,180,20,195,64,96,96,20,20,96,54,64,58,54,20,96,58,20,180,180,64,20,58,20,180,64,180,20,180,96,195,96,64,64,96,58,64,54,96,96,32,20,96,180,96,180,96,96,64,180,64,20,96,64,20,180,20,96,180,89,96,64,20,64,32,64,96,64,20,64,54,58,89,64,20,180,64,96,96,64,20,54,180,96,32,20,64,64,96,20,64,20,180,64,96,180,195,64,64,20,20,20,180,64,54,32,180,96,96,20,96,64,180,180,96,20,20,58,32,96,54,64,20,89,195,20,195,180,54,195,20,96,180,64,64,89,20,64,180
180,96,96,20,58,96,96,96,32,20,64,64,89,20,20,54,64,58,195,64,20,96,96,195,20,58,89,96,64,180,20,96,64,54,180,20,96,20,64,96,195,58,96,64,32,64,64,20,54,180,64,195,89,96,20,180,64,96,180,96,195,64,96,64,195,180,180,58,89,96,180,96,64,96,89,20,20,96,64,96,96,54,96,96,64,20,89,96,64,96,64,20,96,180,96,195,96,195,54,20,195,64,180,96,20,20,195,64,96,64,64,180,20,195,54,20,96,96,96,195,54,64,96,64,195,20,96,64,96,195,58,180,96,96,20,64,20,58,180,32,89,96,64,20,64,64,20,64,20,20,195,64,54,96,20,96,20,20,20,20,96,20,64,20,32,20,180,64,96,64,96,64,64,96,96,195,195,64,20,20,96,64,64,195,64,20,20,96,64,20,64,152,195,20,64,58,20,20,96,54,180,20,96,32,64,20,64,195,64,180,64,180,20,180,20,96,20,64,20,54,54,64,54,195,96,64,180,54,180,20,64,96,96,195,20,64,180,32,64,64,64,96,96,64,64,20,180,195,20,64,20,64,96,32,20,96,64,64,96,96,64,54,64,96,96,20,89,96,180,58,180,58,96,89,20,58,20,96,58,64,20,180,96,180,96,20,64,96,96,64,32,54,64,20,180,54,20,96,54
96,54,20,180,96,180,64,20,96,58,96,180,96,64,64,180,89,195,96,180,195,96,195,20,96,20,64,64,58,96,96,195,96,96,64,64,96,180,64,54,20,54,96,64,180,180,20,195,64,96,58,54,64,64,54,96,20,58,20,20,96,64,96,96,58,64,96,195,64,195,180,20,64,20,64,64,58,20,64,54,180,64,180,96,96,58,64,195,58,20,180,96,180,195,64,195,64,20,96,20,180,96,180,20,64,180,195,64,54,64,64,58,64,89,64,96,64,54,64,64,54,180,20,20,64,195,64,180,20,20,96,20,96,64,195,54,96,20,96,20,64,180,64,195,96,20,180,64,64,96,180,20,64,20,180,64,64,96,64,64,180,64,180,64,64,96,96,20,32,58,54,54,96,58,96,180,96,96,64,64,20,64,20,96,54,96,64,180,195,96,180,64,96,54,54,54,89,64,54,20,64,64,64,89,20,180,20,96,54,195,20,195,64,64,58,64,180,195,180,96,96,20,54,180,54,64,195,20,64,96,96,64,180,20,96,64,20,180,64,180,180,20,64,195,89,64,64,180,96,89,180,64,96,96,20,180,195,58,54,54,20,54,64,20,96,96,20,54,20,96,96,64,20,180,96,96,96,64,74,96,96,54,32,64,180,96,64,64,54,64,96,180,64,64,96,64,180,20,64
