V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164,V165,V166,V167,V168,V169,V170,V171,V172,V173,V174,V175,V176,V177,V178,V179,V180,V181,V182,V183,V184,V185,V186,V187,V188,V189,V190,V191,V192,V193,V194,V195,V196,V197,V198,V199,V200,V201,V202,V203,V204,V205,V206,V207,V208,V209,V210,V211,V212,V213,V214,V215,V216,V217,V218,V219,V220,V221,V222,V223,V224,V225,V226,V227,V228,V229,V230,V231,V232,V233,V234,V235,V236,V237,V238,V239,V240,V241,V242,V243,V244,V245,V246,V247,V248,V249,V250,V251,V252,V253,V254,V255,V256,V257,V258,V259,V260,V261,V262,V263,V264,V265,V266,V267,V268,V269,V270,V271,V272,V273,V274,V275,V276,V277,V278,V279,V280,V281,V282,V283,V284,V285,V286,V287,V288,V289,V290,V291,V292,V293,V294,V295,V296,V297,V298,V299,V300,V301,V302,V303,V304,V305,V306,V307,V308,V309,V310,V311,V312,V313,V314,V315,V316,V317,V318,V319,V320,V321,V322,V323,V324,V325,V326,V327,V328,V329,V330,V331,V332,V333,V334,V335,V336,V337,V338,V339,V340,V341,V342,V343,V344,V345,V346,V347,V348,V349,V350,V351,V352,V353,V354,V355,V356,V357,V358,V359,V360,V361,V362,V363,V364,V365,V366,V367,V368,V369,V370,V371,V372,V373,V374,V375,V376,V377,V378,V379,V380,V381,V382,V383,V384,V385,V386,V387,V388,V389,V390,V391,V392,V393,V394,V395,V396,V397,V398,V399,V400,V401,V402,V403,V404,V405,V406,V407,V408,V409,V410,V411,V412,V413,V414,V415,V416,V417,V418,V419,V420,V421,V422,V423,V424,V425,V426,V427,V428,V429,V430,V431,V432,V433,V434,V435,V436,V437,V438,V439,V440,V441,V442,V443,V444,V445,V446,V447,V448,V449,V450,V451,V452,V453,V454,V455,V456,V457,V458,V459,V460,V461,V462,V463,V464,V465,V466,V467,V468,V469,V470,V471,V472,V473,V474,V475,V476,V477,V478,V479,V480,V481,V482,V483,V484,V485,V486,V487,V488,V489,V490,V491,V492,V493,V494,V495,V496,V497,V498,V499
64,152,246,250,54,250,246,242,64,20,250,250,180,246,180,96,54,96,20,246,64,250,246,96,180,246,54,96,250,96,96,250,152,20,96,246,180,96,180,58,246,54,242,250,180,96,20,54,180,242,152,180,242,152,180,64,180,246,250,246,250,180,242,246,96,242,180,180,96,242,64,246,250,20,242,180,96,96,242,246,180,96,180,246,250,64,64,180,246,20,64,64,96,242,250,246,64,250,152,180,20,250,250,32,180,96,64,250,242,180,20,250,54,180,152,242,96,195,96,246,64,96,246,152,64,250,152,64,195,96,96,246,195,58,250,20,64,64,96,195,246,20,96,20,180,242,246,64,96,246,54,242,246,195,20,180,246,120,250,152,96,180,246,58,242,180,96,64,64,96,250,96,20,180,152,96,64,250,152,96,54,180,250,246,20,246,96,96,96,180,180,195,195,64,64,246,250,180,96,242,54,246,250,246,180,96,242,64,64,64,250,180,20,180,246,64,64,180,242,180,152,250,64,250,96,180,180,180,246,250,64,58,64,54,242,152,64,54,242,96,250,96,96,242,64,250,64,250,242,180,250,180,250,64,250,96,246,64,250,180,246,246,96,64,242,96,242,250,246,246,64,246,195,246,64,180,96,246,54,180,242,96,180,246,180,64,120,64,246,242,250,96,20,180,180,246,250,246,20,64,246,250,246,96,120,195,250,120,96,32,246,152,96,180,96,180,96,180,20,64,180,180,20,20,96,180,195,96,250,242,64,152,242,64,96,180,96,180,242,64,152,246,96,20,96,195,242,246,180,152,96,64,152,246,64,246,180,246,195,64,120,152,20,250,250,242,180,246,195,96,64,250,242,250,152,64,96,250,20,96,195,180,246,64,180,246,64,64,180,250,64,96,64,180,64,64,246,64,96,250,180,64,180,180,195,180,20,96,242,96,20,152,96,242,250,64,242,250,242,64,250,64,242,64,64,20,180,152,246,20,250,64,120,152,152,96,152,64,180,96,152,96,20,64,246,250,20,96,64,20,64,96,64,96,242,246,64,180,120,195,250,246,180,64,64,180,64,180,242,64,64,64,64,242,242,246,250,246,180,242,64,180,58,246,242,242,96,20,96,250,242,250,96,180,246,64,96,250,246
20,242,64,180,152,120,96,152,242,96,20,96,246,96,96,120,180,180,96,64,20,54,64,180,64,20,180,250,250,64,246,250,246,64,120,242,180,246,195,246,180,96,20,54,195,242,20,250,32,96,242,64,242,20,250,20,180,20,96,180,96,180,152,250,195,20,242,152,64,195,20,58,250,54,64,96,246,96,152,64,96,246,246,64,120,242,96,20,20,242,20,58,246,242,64,242,54,152,96,242,96,242,242,242,120,246,195,64,64,152,180,250,250,64,195,242,64,246,180,64,180,64,242,246,96,242,246,64,96,242,180,152,180,120,246,152,180,250,242,246,96,242,250,246,246,250,246,250,96,180,64,96,246,20,152,20,246,242,20,20,96,242,180,20,246,64,20,64,20,64,195,64,20,242,246,20,96,242,64,246,180,20,152,120,250,250,180,246,246,64,246,180,152,54,242,152,242,54,96,250,246,242,250,96,242,64,20,246,242,64,180,20,96,195,54,242,64,64,96,152,20,64,242,64,64,246,64,96,180,96,250,246,20,180,250,246,20,152,20,250,242,250,96,152,180,152,246,152,64,246,180,96,242,64,180,64,246,180,96,96,246,96,195,246,180,246,250,64,242,64,180,64,54,180,250,246,54,250,96,64,20,242,152,96,20,250,96,195,242,96,250,20,64,96,250,64,152,64,246,64,246,180,250,250,64,180,64,250,96,180,20,195,246,20,195,250,96,96,250,246,96,246,246,96,64,64,242,180,246,20,120,246,20,64,64,20,64,246,64,180,96,20,96,180,250,180,96,120,242,195,180,246,96,152,246,242,96,250,20,250,180,64,180,180,96,152,96,242,64,246,54,152,180,96,54,64,180,246,246,96,246,96,96,20,20,246,96,20,152,64,250,20,180,96,180,96,250,152,246,120,96,20,152,242,246,54,246,64,180,64,180,195,64,180,246,180,250,96,96,250,180,152,246,180,20,152,64,96,96,242,96,54,96,64,64,180,64,64,96,120,246,64,242,242,152,64,246,20,246,96,96,64,250,246,20,246,96,246,246,152,246,96,246,20,64,242,96,64,120,242,246,54,246,180,96,96,250,20,96,242,242,64,64,242,64,250,180,246,64,58,64,64,64,246,180,242,180,20,96
152,64,250,250,64,180,195,20,242,195,180,180,96,250,120,96,246,64,96,250,96,250,246,242,246,120,242,246,20,64,54,180,180,64,96,180,195,180,246,180,246,20,246,242,250,246,120,64,152,180,250,20,64,180,246,20,246,242,246,195,64,195,120,246,180,64,96,242,64,64,250,58,64,96,246,96,96,250,20,242,242,180,180,20,250,20,242,180,20,246,180,96,64,20,250,58,96,152,20,180,246,64,120,152,242,64,152,180,96,180,54,96,246,20,250,64,242,180,96,180,250,246,180,96,246,96,64,246,96,180,180,20,20,152,250,96,120,64,64,20,96,250,64,96,180,96,246,64,64,250,64,246,180,250,20,64,96,242,64,250,246,250,242,64,250,20,242,250,242,180,180,242,96,96,64,250,20,152,242,96,242,246,180,195,64,180,242,96,20,96,20,180,96,20,64,250,250,96,64,20,64,64,246,180,152,20,195,180,180,250,20,54,246,20,246,96,20,64,250,242,246,180,180,96,242,152,20,246,20,195,242,64,64,246,250,152,96,54,242,180,20,180,246,242,54,180,250,20,96,242,250,64,54,250,250,54,96,180,246,180,32,152,180,250,180,64,246,64,96,64,246,64,250,242,96,180,54,180,246,54,242,64,180,246,20,96,242,180,250,64,242,250,96,246,64,180,180,242,20,96,242,96,20,96,246,246,20,20,246,180,96,195,96,250,195,20,246,242,180,242,64,96,180,20,152,180,246,152,54,20,180,180,246,180,242,152,242,152,250,20,96,250,242,250,64,64,152,250,152,96,64,242,64,246,180,250,20,152,64,64,242,250,96,64,246,242,246,250,242,96,242,64,96,64,64,64,96,250,64,242,195,195,242,64,242,20,242,246,96,20,180,20,250,20,64,20,64,250,242,242,180,20,250,246,20,120,96,54,242,242,246,20,58,96,64,242,180,20,120,96,64,246,64,250,96,250,180,64,180,246,96,246,246,180,152,20,96,120,64,64,96,180,96,250,242,64,96,64,20,96,64,54,20,180,54,152,54,64,246,242,96,96,250,152,20,64,242,96,242,96,20,152,96,64,64,242,250,20,180,250,242,64,180,246,246,246,242,64,246,242,246,96,20,246,20,250,242,64,180
64,195,195,96,246,152,96,246,180,250,246,96,64,54,152,180,96,246,242,195,180,64,180,152,96,64,64,96,180,64,250,242,246,64,96,242,96,64,54,64,96,242,250,246,250,180,250,20,64,96,96,96,250,58,250,64,180,242,20,180,246,152,64,64,54,96,246,152,246,64,96,246,246,20,120,96,246,152,58,152,64,20,64,242,20,54,120,20,96,96,64,96,20,20,96,96,195,180,250,20,64,246,64,195,96,242,246,64,246,180,246,242,250,64,64,246,242,250,64,246,64,20,246,20,20,242,64,96,242,64,96,246,250,20,64,64,20,242,20,64,180,20,64,20,120,96,20,246,20,96,246,64,20,246,242,246,242,246,96,242,64,195,180,242,20,152,96,54,64,96,246,180,246,180,96,246,64,64,246,96,180,96,96,152,246,20,64,246,250,180,246,64,250,20,250,180,20,246,180,242,120,54,246,64,250,96,246,242,64,180,96,64,180,246,20,242,64,20,242,20,180,152,64,246,96,64,180,64,20,64,20,152,246,250,64,96,96,180,64,96,64,20,250,180,20,180,64,120,180,54,20,195,54,195,250,246,20,96,20,242,64,242,152,246,246,20,242,250,242,64,96,152,242,195,250,250,20,96,64,250,250,20,152,246,64,96,20,180,250,180,250,180,180,242,250,64,54,242,64,152,180,242,242,246,64,96,64,242,246,246,64,20,250,180,120,20,96,195,64,64,20,152,180,54,195,96,120,64,120,96,64,96,250,54,246,250,195,54,250,54,250,195,246,246,242,246,96,250,242,250,20,242,250,54,246,180,64,180,246,242,64,64,120,242,152,180,20,96,64,20,250,246,242,246,96,64,242,250,20,242,96,152,96,246,96,242,64,96,20,64,96,120,246,152,58,96,242,180,64,96,20,246,64,250,64,180,20,96,64,64,64,64,250,20,246,152,20,180,242,250,242,180,246,64,64,250,54,195,246,242,64,20,20,20,180,96,246,64,20,195,242,64,250,64,180,64,246,250,64,54,250,64,242,96,246,242,180,96,246,64,246,180,250,20,250,64,246,64,242,96,195,20,246,242,96,180,180,64,96,64,250,96,64,250,242,180,195,64,64,152,64,54,195,250,96,152,96,120,242
246,20,242,152,64,250,64,20,152,250,250,180,246,250,96,96,96,152,250,96,54,64,20,180,250,242,64,246,96,180,20,20,246,250,246,64,180,152,96,246,20,180,195,250,96,64,152,64,180,246,20,246,64,20,96,96,64,242,246,96,64,250,96,242,246,246,64,180,250,96,242,250,96,64,246,64,246,250,96,246,242,242,195,96,96,242,180,64,250,64,195,246,96,64,250,180,242,96,242,96,20,180,242,20,96,64,180,180,246,180,96,180,242,246,180,96,152,242,246,20,250,242,180,20,64,20,246,96,96,180,20,96,242,246,96,64,242,64,246,242,246,20,246,96,64,246,96,246,250,64,20,250,180,180,96,180,250,64,180,96,20,242,64,64,64,246,242,180,120,180,242,96,195,246,64,195,96,20,20,96,242,20,195,64,96,96,246,250,64,64,96,96,96,246,64,96,180,20,64,250,64,64,246,96,246,152,246,180,120,180,96,242,96,195,64,54,64,96,54,96,242,20,20,250,246,250,180,246,242,96,250,180,96,120,20,242,96,96,242,20,242,96,242,64,64,20,64,20,64,96,54,64,246,242,96,180,20,96,54,246,180,20,250,64,242,64,96,152,246,195,246,180,64,250,20,246,20,250,96,242,250,152,242,96,250,242,246,195,242,96,180,152,242,246,195,64,20,250,180,20,96,250,242,195,64,64,242,152,96,152,250,64,96,250,64,152,120,20,246,96,64,64,20,246,96,250,246,20,64,64,20,242,20,180,96,20,64,64,250,96,64,246,64,20,96,64,96,180,64,96,246,96,120,152,195,242,152,242,64,246,96,180,64,242,96,242,180,246,242,195,20,152,250,250,20,96,242,152,246,246,242,64,96,20,64,20,195,64,242,180,242,246,54,20,152,180,54,64,20,64,96,96,54,54,242,246,250,64,20,54,96,180,96,96,152,246,64,96,64,246,64,96,20,246,96,250,180,152,64,96,195,96,246,20,180,242,246,250,64,96,180,195,64,64,120,96,246,152,96,246,96,250,96,246,242,152,246,64,180,64,64,242,246,64,64,180,242,64,20,180,64,64,64,64,195,242,242,242,96,96,64,242,152,180,64,152,152,246,20,180,195,96,250,64,152,246,250,180,96
250,246,246,180,246,96,180,242,64,242,195,180,64,180,242,246,64,20,64,20,152,246,20,96,246,180,180,250,180,120,242,180,242,180,96,96,242,246,64,242,20,96,64,64,96,152,64,64,250,64,242,20,180,242,20,152,20,180,246,242,64,96,20,195,120,120,180,242,246,242,64,96,242,20,246,64,250,180,64,96,246,180,96,180,64,64,64,96,180,180,20,64,246,152,64,64,54,64,64,246,250,96,246,246,64,20,246,242,96,20,152,54,250,96,242,96,242,64,96,246,20,246,96,180,242,242,96,20,64,195,96,64,180,20,242,246,152,64,152,246,250,195,96,64,20,96,64,250,152,242,180,20,195,250,242,64,54,246,64,96,180,246,246,96,242,180,54,250,246,64,242,54,20,246,64,64,96,64,20,242,64,246,195,250,180,246,180,242,180,96,246,152,180,96,152,64,152,246,64,250,20,242,54,250,20,180,96,152,242,20,152,152,64,64,246,96,96,96,152,96,64,246,246,96,180,20,20,180,250,64,20,64,54,64,250,180,246,250,180,242,250,20,195,96,20,96,152,250,195,246,180,242,246,180,64,242,195,96,96,96,64,96,64,64,20,64,96,180,250,96,195,180,242,180,96,242,246,152,64,180,250,120,195,20,250,246,64,20,246,180,180,242,64,180,64,242,54,96,180,20,246,96,64,96,246,96,250,195,64,96,180,242,180,64,246,180,96,64,195,64,180,20,20,242,64,64,64,242,250,246,32,242,120,96,195,180,246,64,64,250,152,96,96,246,96,242,250,246,64,152,64,64,246,96,64,96,96,64,242,180,242,64,250,54,246,250,246,64,20,96,96,120,96,96,195,180,242,250,152,250,246,96,242,246,246,64,54,250,246,96,54,246,180,64,242,96,246,54,152,242,250,64,96,20,64,180,180,96,180,195,246,96,246,64,180,96,250,246,250,96,246,195,246,250,96,246,96,242,246,64,242,250,96,20,64,242,250,96,152,246,20,20,96,20,64,180,246,96,20,242,54,20,64,20,246,246,180,250,64,96,96,250,242,180,195,96,242,64,152,250,246,250,246,96,152,152,250,180,20,250,246,64,20,242,180,246,96,195,250,246,242,20,242,96,180,195,96,180,246
152,195,180,242,180,54,20,54,250,246,180,242,242,20,96,20,246,54,96,195,20,96,20,64,96,250,64,242,246,96,96,64,96,250,54,54,64,96,250,180,96,250,20,242,180,246,54,242,96,152,195,246,96,58,120,96,64,64,20,96,54,20,180,64,96,180,64,64,180,246,250,180,250,64,242,246,96,96,180,250,195,242,96,96,152,96,242,246,152,195,152,195,242,246,96,250,20,96,20,64,242,64,180,242,96,20,96,54,64,242,96,242,246,152,246,64,246,180,96,242,20,152,250,250,96,64,242,246,242,64,246,54,180,250,242,250,20,96,152,246,250,96,20,242,250,64,180,54,54,242,64,250,242,58,20,250,246,96,64,32,246,250,152,152,242,96,96,246,20,246,64,242,64,64,96,246,242,180,96,64,180,96,20,64,20,20,242,250,96,242,250,246,242,246,180,64,250,96,250,242,246,195,180,242,96,180,250,246,96,96,250,180,64,242,54,64,246,180,64,180,64,96,180,246,250,152,96,96,195,64,64,64,20,64,152,64,64,242,96,250,96,242,20,54,64,64,64,64,96,242,96,246,246,250,246,64,64,20,64,242,64,180,246,64,20,242,96,246,246,20,242,246,250,242,242,246,96,250,195,242,152,96,64,246,180,20,96,242,246,96,120,242,246,242,152,96,96,180,64,246,246,96,152,120,152,246,64,20,96,246,180,246,20,242,96,242,152,54,96,195,246,64,242,250,64,96,58,242,152,96,250,246,120,246,246,246,20,246,96,246,64,96,242,250,20,152,96,246,96,242,96,96,242,246,246,120,20,54,250,246,64,64,96,246,180,96,96,64,250,64,32,64,152,250,246,246,246,246,246,96,242,180,64,246,64,20,64,32,96,180,20,152,242,195,180,250,242,64,20,250,54,152,180,250,180,180,64,242,180,64,180,96,96,246,96,20,246,246,120,64,180,64,152,250,180,20,250,64,250,96,246,242,64,96,246,96,242,54,242,246,180,242,250,246,152,96,242,64,246,242,180,246,250,250,64,64,242,180,246,152,246,96,54,96,180,64,96,250,242,64,64,195,242,64,242,180,64,120,64,246,96,180,180,20,64,152,96,246,250,96,152,250,64,120,20,242,250,242,64
180,242,96,96,54,96,180,195,180,54,242,64,180,64,96,64,250,96,246,96,20,246,96,64,180,246,195,64,96,246,20,20,54,96,250,250,250,54,180,195,96,64,246,20,96,242,242,96,120,242,96,152,250,246,180,246,20,250,96,96,180,20,246,246,64,250,58,120,64,180,195,242,246,180,242,64,180,64,242,246,96,20,64,20,246,20,96,246,120,250,152,246,64,242,152,250,180,96,242,246,246,64,20,64,96,96,242,246,250,246,250,180,64,20,250,64,180,20,152,250,242,246,180,246,120,64,64,180,64,96,242,96,64,246,180,180,54,246,180,250,64,96,242,20,96,250,246,152,96,96,250,96,195,180,250,64,20,64,64,195,246,96,180,64,180,242,180,250,64,96,96,96,250,180,96,195,54,246,96,242,242,58,54,180,242,64,96,64,250,246,246,96,242,96,64,246,180,246,96,180,64,246,64,96,152,96,250,96,120,64,96,20,64,180,180,180,96,54,246,180,246,242,250,250,250,195,96,32,250,242,246,120,195,250,180,64,180,242,246,246,250,96,180,152,246,250,152,120,152,64,54,180,242,64,246,180,96,246,54,152,246,96,64,180,246,180,120,246,96,20,20,180,242,64,180,242,20,64,246,64,246,64,180,250,242,64,242,64,195,180,96,20,242,96,120,32,64,20,20,242,64,64,246,120,96,180,242,250,246,242,250,250,54,246,152,180,96,96,96,242,180,64,120,180,242,246,246,96,246,54,64,246,20,246,180,64,242,20,250,20,180,64,96,180,96,96,250,64,180,96,64,250,152,96,250,250,250,242,246,246,96,246,250,242,64,64,20,64,96,246,20,246,120,250,250,64,180,64,250,242,180,64,242,180,20,242,20,54,64,250,96,195,242,120,64,180,242,96,180,64,120,64,246,250,64,246,242,64,20,152,54,96,195,96,64,20,250,54,242,180,242,246,96,96,180,96,20,180,20,64,152,246,152,195,96,250,242,250,250,20,242,246,96,64,242,242,152,54,120,152,180,54,242,246,250,32,180,64,250,96,242,246,20,64,242,54,96,20,180,250,250,64,20,96,64,64,242,242,20,195,20,96,20,152,64,54,250,64,20,96,180,246,152,20,64,242,250,96,195
96,246,20,64,152,20,64,54,20,180,96,58,246,250,64,64,96,180,246,180,246,250,180,96,64,250,246,20,64,96,64,250,96,96,54,242,96,96,242,64,180,242,64,246,250,246,242,180,246,64,250,246,96,96,96,96,180,64,64,152,64,20,250,180,242,64,64,242,246,246,64,96,64,195,246,20,246,20,96,20,180,250,96,180,96,64,64,96,96,180,64,180,20,96,180,96,246,96,120,96,64,242,152,246,152,64,20,152,242,242,250,242,246,96,180,20,96,242,250,180,54,180,195,180,96,96,96,250,250,180,64,64,250,246,64,64,246,250,246,152,20,64,250,96,180,64,20,96,242,64,242,195,246,64,242,250,64,242,96,242,242,195,96,242,96,246,96,20,242,64,58,96,242,195,58,64,96,20,180,64,54,64,152,20,250,246,250,180,96,96,246,195,246,152,64,96,120,242,180,152,242,180,246,20,64,96,180,246,250,180,96,242,96,195,250,96,242,242,64,180,152,20,64,246,246,96,250,152,64,152,96,180,96,152,120,242,250,96,96,180,242,242,180,152,242,64,246,250,96,246,180,250,180,152,242,246,250,96,120,180,180,96,64,195,152,152,96,180,242,96,246,195,242,250,246,96,152,180,250,20,246,54,180,64,242,180,96,242,96,20,242,250,152,96,64,250,120,96,64,242,250,246,180,96,64,54,64,250,180,96,152,64,20,242,250,242,152,180,20,96,242,54,242,20,246,180,152,64,180,242,64,96,96,242,96,250,120,246,180,250,64,246,64,246,250,242,152,96,250,96,180,195,180,250,20,246,180,180,20,64,20,242,32,96,180,246,242,20,195,180,242,96,20,180,20,242,180,246,20,246,54,96,54,246,64,250,250,152,242,180,180,152,246,64,20,180,246,250,242,250,96,64,64,246,64,250,246,96,96,246,180,250,64,242,120,152,180,180,250,64,250,64,242,250,250,20,64,242,250,64,250,96,246,250,20,180,120,246,250,246,64,246,120,64,180,96,180,96,180,246,64,96,64,246,64,180,195,246,250,20,64,242,180,20,180,64,152,20,120,20,180,246,64,246,64,250,96,152,20,250,20,246,180,246,20,96,242,152,250,64,54,20,180,96,242,20,64,20,246
120,242,64,246,246,96,96,250,195,242,96,64,64,180,250,180,195,250,96,152,242,246,96,64,96,96,152,64,64,96,64,64,120,64,242,180,64,180,195,246,250,152,250,180,152,64,180,20,242,120,250,96,20,152,20,195,246,64,96,246,152,54,246,96,20,54,180,20,250,250,242,54,246,246,54,152,20,54,64,64,96,246,195,64,20,242,250,242,180,242,96,242,195,246,242,58,64,242,180,250,180,64,250,64,96,242,246,250,246,64,250,246,250,180,180,195,250,242,64,64,242,246,64,54,242,250,195,180,152,20,96,180,96,242,96,246,180,180,20,180,195,246,96,64,96,64,96,250,64,96,20,246,58,242,96,180,180,152,195,152,20,96,64,54,180,20,64,120,96,152,242,246,96,180,96,20,180,152,96,152,250,180,246,242,96,96,20,96,242,54,242,64,58,180,242,246,250,20,96,64,64,250,64,180,180,64,242,242,152,96,64,246,246,250,246,64,246,195,96,96,64,96,64,20,96,180,242,246,64,250,246,250,242,246,242,96,195,246,64,242,20,96,64,20,246,96,20,250,242,250,54,64,54,20,96,152,195,20,250,246,20,96,242,64,246,250,64,246,120,180,242,180,246,180,64,96,195,20,246,64,180,195,96,246,96,64,20,246,96,64,96,180,246,246,152,96,64,64,246,250,20,180,96,96,242,96,180,195,246,64,242,64,64,20,180,195,246,246,250,180,180,152,180,246,96,54,246,96,152,242,64,180,246,242,180,246,246,54,54,246,96,64,96,180,246,96,64,242,180,242,246,96,96,180,96,180,246,246,246,180,180,64,246,96,20,250,96,180,120,96,246,180,246,64,250,242,246,180,250,20,64,180,250,20,96,242,152,250,242,180,64,250,180,96,242,180,246,246,250,20,246,242,96,152,180,195,246,242,180,250,20,180,20,54,64,96,64,64,54,246,180,152,246,96,64,96,96,242,246,20,246,64,20,20,242,180,64,96,20,54,195,242,246,152,242,20,54,152,246,96,54,54,152,250,242,96,20,250,64,54,64,250,246,242,246,250,180,96,20,250,242,64,250,242,246,242,242,246,20,250,54,180,64,246,242,64,250,180,246,64,195,250,64,180,64,246,96,180,242
246,246,250,180,54,64,180,96,20,250,96,54,20,64,250,96,20,180,64,32,180,96,64,250,64,20,242,54,250,64,250,242,96,20,96,180,246,64,242,96,96,96,246,64,20,20,64,64,246,32,242,64,20,64,180,64,180,64,180,246,64,64,246,242,64,64,180,152,64,246,64,180,20,242,246,20,180,96,96,246,250,64,20,96,20,96,242,120,96,152,64,20,180,152,96,242,195,180,96,246,152,96,152,246,242,246,20,180,64,242,96,96,64,180,64,242,20,242,180,250,246,180,64,96,64,250,152,242,242,180,96,96,246,64,180,180,64,96,250,96,96,180,250,152,246,242,250,64,96,180,246,242,152,96,246,246,64,152,246,96,120,96,180,246,20,180,96,64,242,180,250,242,246,64,242,54,96,250,64,96,195,246,96,250,96,20,96,64,96,64,20,246,64,180,250,242,242,64,246,20,246,195,96,54,54,20,242,246,96,54,246,242,20,96,250,180,96,64,250,195,250,64,96,246,195,250,250,120,152,64,180,96,246,250,250,246,96,64,195,54,242,195,246,96,195,20,242,64,246,180,64,246,58,64,250,96,96,180,250,64,64,120,180,96,20,250,250,96,64,64,180,180,242,96,64,242,152,64,64,242,250,242,20,180,20,246,195,242,180,250,246,180,96,250,54,180,242,246,58,96,120,152,242,152,246,250,20,20,180,250,195,64,180,20,242,246,96,246,96,96,64,96,152,96,195,180,64,96,64,246,64,246,242,64,242,246,64,242,20,96,152,250,120,96,250,180,54,58,96,96,250,64,246,246,64,64,246,96,195,96,64,246,96,180,96,64,180,64,64,20,242,242,64,242,246,96,180,96,250,64,180,96,96,246,246,64,246,96,96,96,242,242,20,120,64,246,64,180,195,242,180,96,246,180,242,250,96,246,195,64,246,20,96,242,64,242,180,152,64,64,250,64,20,250,20,32,180,20,20,20,195,180,242,96,242,242,250,20,96,120,250,54,20,250,54,64,180,180,152,20,242,64,96,246,180,242,250,246,246,64,152,250,242,250,152,250,54,180,64,96,246,180,195,246,20,250,64,180,246,246,96,64,20,180,250,246,120,96,64,64,242,20,242,54,64,54,242,64,54
20,54,96,20,96,20,20,152,242,64,64,152,242,246,54,64,64,20,20,246,195,246,64,242,250,180,96,96,64,180,180,246,250,246,246,250,152,96,64,246,250,20,180,180,195,64,20,96,152,54,64,250,96,96,246,96,96,20,250,195,96,180,242,180,242,246,120,180,152,242,20,120,96,242,246,64,242,242,96,20,64,246,96,120,20,180,195,246,96,64,54,180,242,64,242,64,246,54,20,242,246,64,242,180,242,54,180,250,250,152,96,250,20,96,20,242,152,246,64,180,250,246,242,96,180,54,246,20,64,246,64,64,250,242,96,242,246,64,242,180,242,246,64,96,180,246,242,246,250,195,195,180,20,242,120,96,58,180,64,64,64,246,20,64,96,250,246,250,32,180,96,20,54,20,246,246,64,180,246,242,246,242,242,180,195,180,242,152,242,20,120,250,96,120,195,64,242,96,180,64,180,242,195,96,250,64,96,250,20,20,180,64,242,54,246,250,246,20,246,152,246,246,250,250,242,152,246,96,180,96,152,242,250,96,96,250,180,250,250,64,96,64,246,152,246,250,180,20,64,32,64,250,64,180,250,246,250,250,180,96,180,242,180,250,246,246,20,246,96,54,250,195,246,180,242,20,180,152,64,64,242,64,64,246,54,242,120,180,246,242,242,242,152,250,64,96,246,64,20,246,20,54,242,96,64,54,96,242,96,246,152,242,54,58,180,250,64,64,64,64,246,20,64,64,120,96,152,242,152,180,242,20,180,246,96,64,120,96,250,246,96,250,180,250,64,152,250,64,96,250,96,242,152,180,250,120,195,64,246,242,64,242,180,120,64,20,96,242,120,32,180,250,242,64,64,250,246,246,54,64,246,242,195,242,180,250,195,64,246,250,96,180,246,250,20,250,242,96,246,246,96,250,242,96,246,96,180,64,180,96,180,64,96,250,96,64,20,64,64,180,195,246,20,195,96,246,64,242,180,242,246,242,64,96,152,96,180,64,246,246,96,180,20,180,180,96,96,246,242,242,152,242,180,180,246,242,64,96,64,96,152,120,246,242,20,246,64,96,96,96,250,152,152,246,96,58,54,96,64,250,152,180,96,246,242,246,64,20,246,120,96,246,96,152,64,180,242,250,180
